Name,Beauhurst URL,Accelerator manager,Sponsor(s),Fund,Next application deadline,Duration,Perks provided,Status,Summary,Eligibility,Phone number,Website,LinkedIn page,Country,Local authority (if UK),Region (if UK),Street address,Postcode (if UK),Number of attendances in this accelerator,Number of fundraisings associated with this accelerator,Date of the latest attendance 
Halo Programme,https://platform.beauhurst.com/acceleratormanager/852cwk/accelerator/2wx4cz/,Anglia Capital Group,"Connected Innovation, British Business Bank, Suffolk County Council",,,10 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Education, Financial Planning, Legal Services, Marketing support, Mentoring, Workshops",Green,The programme is for start-ups preparing to receive angel investment.,Applicants must meet the following criteria: Be based in Norfolk or Suffolk Haven’t raised equity finance previously,,https://www.angliacapitalgroup.co.uk/investmentreadiness,,United Kingdom,North Norfolk,East of England,"12 Church Street
Cromer
Norfolk
England
NR27 9ER",NR27 9ER,,,
ScaleX Accelerator,https://platform.beauhurst.com/acceleratormanager/3j9rrn/accelerator/d8hqtd/,Simple Scaling,,,,12 months.,"Access to Network of Experts, Business Advice, Business Education, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is for SMEs looking to scale using the 10 foundational principles of the ScaleX framework.,"Applicants must meet the following criteria: Be CEO, founder or managing director of an SME Have turnover between £3m-£30m",,https://simplescaling.com/solutions/accelerator-programme/,,United Kingdom,"Armagh City, Banbridge and Craigavon",Northern Ireland,"10X Publishing Ltd
Carrickaness Road
Dungannon
BT71 7NH",BT71 7NH,,,
Open London,https://platform.beauhurst.com/acceleratormanager/havfpp/accelerator/8regga/,Newable,,UK Shared Prosperity Fund (UKSPF),,2 months.,"Access to Finance, Access to Network of Experts, Invitation to Exclusive Events, Technical Expertise, Workshops",Green,"The programme is for SME's looking to solve challenges in London including; Social Care, Transport, Environment, Energy, Health/Wellbeing and Housing.",Applicants must meet the following criteria: Be based in London Be registered in the UK Meet the SME criteria Have a potential service/product to address one of the relevant programme challenges,,https://go.newable.co.uk/OpenLondon,,United Kingdom,City of London,London,"140 Aldersgate Street
EC1A 4HY",EC1A 4HY,,,
High Growth Accelerator,https://platform.beauhurst.com/acceleratormanager/z6ydpi/accelerator/q53sxp/,Business Growth West Midlands (BGWM),Gateley Global,West Midlands Combined Authority (WMCA),,12 months.,"Access to Investor Network, Access to Network of Experts, Business Advice, Financial Planning, Invitation to Exclusive Events, Legal Services, Marketing support, Mentoring, Technical Expertise, Workshops",Green,The programme is designed to support high growth SMEs in the West Midlands Combined Authority region to overcome barriers to growth.,Applicants must be an SME based in the West Midlands Combined Authority region.,,https://www.businessgrowthwestmidlands.org.uk/support-programmes/high-growth-programme/,,United Kingdom,Birmingham,West Midlands,"16 Summer Lane
Birmingham
B19 3SD",B19 3SD,,,
Supply Chain Transition Programme,https://platform.beauhurst.com/acceleratormanager/z6ydpi/accelerator/hzpfet/,Business Growth West Midlands (BGWM),West Midlands Combined Authority,West Midlands Investment Zone (WMIZ),,12 months.,"Access to Business Network, Access to Customer Network, Access to Finance, Access to Network of Experts, Financial Investment, Mentoring, Product Development, Workshops",Green,The programme aims to support manufacturing SMEs in the West Midlands to diversify their customer base by securing new orders in growing sectors of the economy including: Health tech & med tech Modern and low carbon construction & other green industries Smart energy systems Aerospace Electric light vehicles and battery manufacturing,"Applicants must meet the following criteria: Be operating as a manufacturing SME  Be operating within the Wolverhampton City Council, Walsall Council, Sandwell Council, Dudley Borough Council, Birmingham City Council, Solihull Metropolitan Borough Council, Coventry City Council or Warwick District Council areas.",,https://www.businessgrowthwestmidlands.org.uk/support-programmes/supply-chain-transition/,,United Kingdom,Birmingham,West Midlands,"16 Summer Lane
Birmingham
B19 3SD",B19 3SD,,,
DeepTech Catalyst Quantum,https://platform.beauhurst.com/acceleratormanager/nvz64k/accelerator/vv6y63/,Science & Technology Facilities Council (STFC),National Quantum Computing Centre,,,,"Access to Business Network, Access to Investor Network, Business Advice, Financial Investment, Investment Assistance, Mentoring, Product Development",Green,"The programme aims to support businesses developing quantum technologies, with a focus on quantum computing.",Applicants must: Be a new or existing UK registered company which is less than 10 years old. Have a viable business plan. Be majority owned by founders or employees. Be developing quantum technologies. Be at Technology Readiness Level (TRL) 3-6.,,https://www.dtc.stfc.ac.uk/programmes/deep-tech-catalyst-quantum/,,United Kingdom,Vale of White Horse,South East,"Rutherford Avenue
Harwell Campus
Didcot
Oxford
OX11 0DF",OX11 0DF,9,,2026-03-02
ESports Business Cluster,https://platform.beauhurst.com/acceleratormanager/pcthgz/accelerator/mhfh4j/,Sunderland Software City,UK Shared Prosperity Fund,,,8 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Business Advice, Business Education, Financial Planning, Investment Assistance, Invitation to Exclusive Events, Marketing support, Mentoring, Workshops",Green,"This programme is for companies and entrepreneurs operating in the esports industry, looking to maximise their success.",Applicants must meet the following criteria: Be based in the UK (ideally in Sunderland and the North East) Be operating in the esports industry or an esports-adjacent sector Be at least 18 years old,,https://www.sunderlandsoftwarecity.com/project/esports-accelerator,,United Kingdom,Sunderland,North East,"Sunderland Software Centre
Tavistock Place
Sunderland
SR1 1PB",SR1 1PB,,,
AI x Crypto Base Camp,https://platform.beauhurst.com/acceleratormanager/aq874y/accelerator/nw92ih/,Outlier Ventures,,Outlier Ventures,,12 weeks.,"Access to Alumni Network, Access to Business Network, Access to Investor Network, Access to Network of Experts, Financial Investment, Financial Planning, Investment Assistance, Invitation to Exclusive Events, Legal Services, Marketing support, Mentoring, Product Development, Stipend, Technical Expertise, Workshops",Green,"The accelerator aims to develop companies operating in the web3 sector, specialising in AI and crypto companies looking to scale and develop.","Applicants must b e developing a product or service for Web3 or metaverse specifically  AI agents, Cryptography Enhanced Machine Learning and Decentralised Data Infrastructure.",,https://outlierventures.io/base-camp/ai-base-camp/,,United Kingdom,City of London,London,"11 Cursitor Street
London
EC4A 1LL",EC4A 1LL,,,
TIC Engine Room,https://platform.beauhurst.com/acceleratormanager/fptd4g/accelerator/u7unh7/,Turing Innovation Catalyst Manchester,,,,6 months.,"Access to Network of Experts, Business Advice, Financial Planning, Investment Assistance, Marketing support, Mentoring, Product Development, Technical Expertise",Green,The programme aims to help AI startups from Greater Manchester to scale.,"Applicants must: Be an AI-first startup, Be based in Greater Manchester, Have raised over £500k in funding or have over £500k in turnover, Have 5 or more full time or fractional employees, Have a product with users, and make recurring revenue, Be ready to scale globally with a roadmap.",,https://ticmanchester.org/programmes/engine-room/,,United Kingdom,Manchester,North West,"Turing Innovation Catalyst Manchester
Renold Building
81 Sackville St
Manchester
M1 3NJ",M1 3NJ,,,
Cornwall Create Growth Programme,https://platform.beauhurst.com/acceleratormanager/zsphda/accelerator/rmahc9/,Creative UK,"Department for Digital, Culture, Media and Sport",,,9 months.,"Access to Business Network, Access to Customer Network, Access to Investor Network, Business Advice, Business Education, Investment Assistance, Invitation to Exclusive Events, Mentoring, Workshops",Green,The programme is for creative businesses in Cornwall and the Isles of Scilly.,"Applicants must: Have a business address in Cornwall or the Isles of Scilly Be creative and focused on one of design, fashion, architecture, film, broadcast, createch, gaming, immersive, publishing, music, theatre, art, heritage, craft or media Be a registered limited company, CIC or charity Have a solid business plan or established commercial activity",,https://www.wearecreative.uk/support/regional-growth-programmes/cornwall-create-growth-programme/,,United Kingdom,Salford,North West,"Tomorrow Building
130 Broadway
2nd Floor /Suite 7
MediaCityUK
Salford
M50 2AB",M50 2AB,,,
Female Founder Programme,https://platform.beauhurst.com/acceleratormanager/cjgzaj/accelerator/qsbxw5/,Northumbria University,,The Susan Dobson Memorial Fund,,3 months.,"Access to Alumni Network, Access to Business Network, Access to Finance, Access to Network of Experts, Business Education, Co-working Space, Invitation to Exclusive Events, Mentoring, Workshops",Green,"The programme is for female-led start ups looking to grow their business, that will promote job creation and prosperity in the North East.",Applicants must meet the following criteria: Be based in the North East of England Are a current student or recent graduate of Northumbria University Identify as female Have been trading or will be trading within 3-6 months of applying Be able to attend 80% of the programmes workshops Have not received previous support from the Female Accelerator Programme,,https://www.northumbria.ac.uk/study-at-northumbria/student-graduate-enterprise/female-accelerator-programme/,,United Kingdom,Newcastle upon Tyne,North East,"Northumbria University
Sutherland Building
Northumberland Road
Newcastle-upon-Tyne
NE1 8ST",NE1 8ST,,,
Pre-Scaler Programme,https://platform.beauhurst.com/acceleratormanager/auad7w/accelerator/h3jrb8/,Scale Up Scotland,,,,7 months.,"Access to Business Network, Business Education, Financial Planning, Invitation to Exclusive Events, Marketing support",Green,The programme aims to support potential high growth businesses headquartered in Scotland to scale.,Applicants must meet the following criteria: Be a limited company headquartered in Scotland Have a proven product/market fit Have current revenues of £100k or more Have potential and matching ambition to reach £1m+ revenues in the next 3 years Have a growth mindset Be able to commit to development events at Blair Estate,,https://www.scaleupscotland.co.uk/pre-scaler/,,United Kingdom,South Ayrshire,West of Scotland,"The Hunter Foundation
Marathon House
Olympic Business Park
Drybridge Road
Dundonald
KA2 9AE",KA2 9AE,,,
